survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town
0,3,male,29.69911764705882,1,1,7.8542,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,A,Southampton
0,1,female,29.69911764705882,0,0,28.7125,C,First,woman,False,C,Cherbourg
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,0.0,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,8,2,249.00622000000035,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,A,Cherbourg
0,3,male,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
1,2,male,29.69911764705882,2,1,39.0,S,Second,child,False,F,Southampton
1,3,female,29.69911764705882,0,2,22.025,S,Third,child,False,A,Southampton
0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,A,Southampton
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,A,Queenstown
1,1,male,29.69911764705882,0,0,26.55,S,First,man,True,A,Southampton
0,3,male,29.69911764705882,1,1,15.5,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,1,0,7.8542,S,Third,woman,False,A,Southampton
1,2,male,29.69911764705882,1,1,26.0,S,Second,child,False,F,Southampton
1,1,female,29.69911764705882,0,0,27.7208,C,First,woman,False,B,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,B,Cherbourg
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,1,8.4042,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,8,2,249.00622000000035,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,6.4958,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,A,Cherbourg
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,0,1,10.4625,S,Third,child,False,G,Southampton
0,3,male,29.69911764705882,1,0,15.85,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,18.7875,C,Third,man,True,A,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,male,29.69911764705882,0,0,31.0,C,First,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.05,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,21.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,A,Queenstown
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,D,Cherbourg
1,3,female,29.69911764705882,0,0,7.925,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,1,0,27.0,S,Second,man,True,A,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,D,Cherbourg
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,1,male,29.69911764705882,1,0,249.00622000000035,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,0,0,9.35,S,Third,man,True,A,Southampton
1,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,3,1,25.4667,S,Third,woman,False,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.5,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,0,0,7.55,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,1,0,26.0,S,Second,man,True,A,Southampton
1,2,female,29.69911764705882,0,2,26.25,S,Second,child,False,A,Southampton
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,12.275,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,1,0,14.4542,C,Third,woman,False,A,Cherbourg
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,A,Queenstown
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.125,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,A,Cherbourg
0,1,male,29.69911764705882,2,0,249.00622000000035,Q,First,man,True,C,Queenstown
0,3,female,29.69911764705882,0,0,7.775,S,Third,woman,False,A,Southampton
1,2,female,29.69911764705882,0,2,14.5,S,Second,woman,False,A,Southampton
1,1,male,29.69911764705882,1,1,52.5542,S,First,man,True,D,Southampton
0,2,male,29.69911764705882,1,0,26.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,1,1,10.4625,S,Third,woman,False,G,Southampton
0,1,male,29.69911764705882,0,0,26.55,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,1,0,16.1,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,0,2,20.2125,S,Third,woman,False,A,Southampton
1,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,A,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,A,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,B,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,A,Cherbourg
1,2,female,29.69911764705882,0,1,26.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
1,3,male,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
0,1,male,29.69911764705882,1,1,249.00622000000035,S,First,man,True,E,Southampton
0,1,male,29.69911764705882,0,0,0.0,S,First,man,True,B,Southampton
0,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,4,1,39.6875,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,1,0,7.775,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,0,1,249.00622000000035,S,First,woman,False,C,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,C,Southampton
0,1,male,29.69911764705882,0,0,31.0,S,First,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,0.0,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,1,19.5,S,Second,woman,False,A,Southampton
0,1,male,29.69911764705882,0,1,29.7,C,First,man,True,C,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,D,Southampton
0,3,female,29.69911764705882,0,0,7.75,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,0.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,4,1,29.125,Q,Third,child,False,A,Queenstown
1,3,female,29.69911764705882,1,1,20.25,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,0,7.8542,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,26.0,S,First,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.6625,C,Third,man,True,A,Cherbourg
1,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,B,Cherbourg
0,2,male,29.69911764705882,0,0,12.875,C,Second,man,True,D,Cherbourg
0,3,female,29.69911764705882,0,0,8.85,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,A,Cherbourg
0,1,female,29.69911764705882,1,2,249.00622000000035,S,First,child,False,C,Southampton
1,1,male,29.69911764705882,0,0,30.5,S,First,man,True,C,Southampton
1,1,female,29.69911764705882,0,1,249.00622000000035,C,First,woman,False,B,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,3,male,29.69911764705882,2,0,23.25,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,0,0.0,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,12.35,Q,Second,woman,False,E,Queenstown
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
1,1,male,29.69911764705882,1,2,249.00622000000035,S,First,child,False,C,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,A,Cherbourg
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,C,Cherbourg
0,2,male,29.69911764705882,1,0,24.0,C,Second,man,True,A,Cherbourg
1,1,female,29.69911764705882,0,0,56.9292,C,First,woman,False,E,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,C,Cherbourg
1,1,female,29.69911764705882,2,2,249.00622000000035,C,First,woman,False,B,Cherbourg
0,2,female,29.69911764705882,1,1,26.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,1,1,26.25,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.8542,S,Third,woman,False,A,Southampton
1,2,female,29.69911764705882,1,0,26.0,S,Second,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,14.0,S,Second,man,True,A,Southampton
1,1,female,29.69911764705882,0,2,249.00622000000035,S,First,woman,False,C,Southampton
1,1,female,29.69911764705882,1,1,249.00622000000035,C,First,woman,False,E,Cherbourg
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,12.35,Q,Second,woman,False,A,Queenstown
1,2,female,29.69911764705882,1,1,29.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,8,2,249.00622000000035,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,C,Cherbourg
0,3,male,29.69911764705882,0,0,6.2375,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,D,Southampton
1,3,female,29.69911764705882,1,1,20.525,S,Third,woman,False,A,Southampton
1,1,female,29.69911764705882,0,1,57.9792,C,First,woman,False,B,Cherbourg
1,3,female,29.69911764705882,2,0,23.25,Q,Third,woman,False,A,Queenstown
0,1,male,29.69911764705882,0,0,28.5,S,First,man,True,C,Southampton
0,1,male,29.69911764705882,0,1,249.00622000000035,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,2,0,18.0,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,1,0,249.00622000000035,S,First,man,True,C,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,E,Cherbourg
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,35.5,S,First,man,True,A,Southampton
1,2,male,29.69911764705882,1,1,26.0,S,Second,child,False,F,Southampton
1,1,female,29.69911764705882,3,2,249.00622000000035,S,First,woman,False,C,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,F,Southampton
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,A,Southampton
1,3,female,29.69911764705882,1,0,16.1,S,Third,woman,False,A,Southampton
1,3,male,29.69911764705882,1,1,15.9,S,Third,child,False,A,Southampton
0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,9.225,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,35.0,S,First,man,True,C,Southampton
